ImageName,Mode,Channel,Mean(x),Mean(y),VAR(X),VAR(Y),"COV(X, Y)","Correlation(X,Y)"
05_Sailboat_en.bmp,HD,B channel,127.79,127.79,5462.66,5462.71,-1.18,-0.000216
05_Sailboat_en.bmp,VD,R channel,127.44,127.41,5469.83,5468.98,6.67,0.001219
05_Sailboat_en.bmp,VD,G channel,127.56,127.56,5459.48,5459.40,7.02,0.001285
05_Sailboat_en.bmp,VD,B channel,127.79,127.79,5462.01,5462.72,11.26,0.002061
05_Sailboat_en.bmp,DD,R channel,127.44,127.41,5469.77,5468.62,-2.84,-0.000519
05_Sailboat_en.bmp,DD,G channel,127.56,127.57,5458.64,5459.10,-1.72,-0.000314
05_Sailboat_en.bmp,DD,B channel,127.79,127.79,5462.42,5463.20,0.42,0.000076
06_Splash_en.bmp,HD,R channel,127.65,127.64,5462.75,5462.79,11.70,0.002142
06_Splash_en.bmp,HD,G channel,127.49,127.49,5460.35,5460.98,13.58,0.002487
06_Splash_en.bmp,HD,B channel,127.47,127.47,5450.26,5450.34,16.07,0.002948
06_Splash_en.bmp,VD,R channel,127.63,127.64,5462.91,5462.01,-7.03,-0.001287
06_Splash_en.bmp,VD,G channel,127.50,127.49,5461.45,5460.16,-2.02,-0.000370
06_Splash_en.bmp,VD,B channel,127.47,127.46,5449.47,5450.05,-14.55,-0.002669
06_Splash_en.bmp,DD,R channel,127.64,127.64,5462.96,5462.10,-10.78,-0.001973
06_Splash_en.bmp,DD,G channel,127.50,127.49,5460.76,5460.15,-3.08,-0.000565
06_Splash_en.bmp,DD,B channel,127.47,127.47,5449.31,5450.00,-11.88,-0.002180
